iter	Passed	Remaining
398	173267	260986
399	173707	260561
400	174138	260122
401	174596	259722
402	175108	259403
403	175539	258964
404	176067	258667
405	176511	258245
406	176952	257820
407	177440	257462
408	177894	257055
409	178372	256682
410	178672	256053
411	179196	255746
412	179568	255222
413	179994	254774
414	180439	254354
415	180922	253986
416	181305	253480
417	181705	252997
418	182106	252514
419	182522	252054
420	182898	251539
421	183283	251037
422	183750	250647
423	184123	250130
424	184534	249664
425	185061	249354
426	185418	248816
427	185813	248330
428	186255	247906
429	186715	247506
430	187121	247034
431	187484	246507
432	187899	246048
433	188420	245728
434	188890	245339
435	189330	244913
436	189795	244518
437	190181	244022
438	190642	243622
439	191042	243145
440	191489	242727
441	191871	242226
442	192335	241831
443	192766	241392
444	193193	240949
445	193602	240484
446	193975	239973
447	194424	239559
448	194859	239126
449	195345	238755
450	195765	238304
451	196294	237984
452	196638	237442
453	197094	237034
454	197501	236567
455	197873	236060
456	198308	235627
457	198710	235155
458	199040	234599
459	199416	234097
460	199872	233690
461	200228	233166
462	200555	232609
463	200911	232087
464	201268	231567
465	201606	231025
466	201973	230517
467	202320	229988
468	202634	229421
469	203102	229030
470	203476	228533
471	203848	228034
472	204255	227574
473	204617	227065
474	204989	226567
475	205365	226074
476	205677	225511
477	206117	225090
478	206599	224714
479	207006	224257
480	207476	223867
481	207911	223439
482	208277	222939
483	208684	222481
484	209061	221993
485	209467	221535
486	209813	221015
487	210167	220503
488	210475	219945
489	210881	219488
490	211328	219075
491	211696	218581
492	212069	218091
493	212461	217622
494	212791	217090
495	213191	216630
496	213600	216178
497	213999	215718
498	214411	215270
499	214743	214743
500	215113	214254
501	215508	213790
502	215918	213343
503	216433	212997
504	216852	212558
505	217402	212246
506	217824	211809
507	218250	211376
508	218662	210929
509	219094	210502
510	219536	210084
511	219916	209608
512	220325	209158
513	220747	208722
514	221226	208339
515	221740	207989
516	222234	207619
517	222752	207271
518	223218	206874
519	223723	206514
520	224192	206119
521	224745	205801
522	225164	205360
523	225573	204910
524	226008	204483
525	226485	204095
526	226967	203711
527	227451	203327
528	227876	202892
529	228311	202465
530	228788	202075
531	229222	201646
532	229714	201269
533	230174	200863
534	230688	200504
535	231129	200082
536	231747	199811
537	232272	199460
538	232736	199056
539	233219	198668
540	233689	198268
541	234160	197870
542	234510	197369
543	234840	196851
544	235247	196399
545	235655	195947
546	236061	195495
547	236410	194995
548	236801	194531
549	237201	194073
550	237606	193621
551	237988	193150
552	238345	192658
553	238735	192194
554	239093	191705
555	239444	191211
556	239788	190711
557	240229	190289
558	240624	189830
559	241063	189407
560	241398	188902
561	241822	188466
562	242251	188035
563	242635	187569
564	243041	187120
565	243444	186669
566	243847	186218
567	244211	185738
568	244659	185322
569	245159	184944
570	245576	184505
571	245987	184060
572	246353	183582
573	246754	183131
574	247162	182685
575	247536	182214
576	247891	181729
577	248324	181302
578	248688	180825
579	249103	180385
580	249518	179945
581	249865	179456
582	250268	179008
583	250681	178567
584	251108	178137
585	251451	177646
586	251837	177187
587	252298	176780
588	252722	176347
589	253096	175880
590	253537	175460
591	253870	174965
592	254218	174480
593	254544	173981
594	254910	173510
595	255294	173052
596	255745	172638
597	256088	172152
598	256519	171726
599	256897	171265
600	257338	170845
601	257743	170401
602	258130	169946
603	258582	169533
604	259063	169140
605	259486	168709
606	259845	168236
607	260233	167782
608	260633	167335
609	261069	166913
610	261470	166468
611	261956	166076
612	262401	165659
613	262830	165232
614	263314	164839
615	263731	164403
616	264163	163978
617	264581	163543
618	264985	163100
619	265401	162665
620	265896	162278
621	266395	161893
622	266820	161462
623	267305	161068
624	267677	160606
625	268095	160172
626	268628	159805
627	269117	159413
628	269610	159022
629	270086	158622
630	270550	158214
631	270952	157769
632	271440	157375
633	271936	156985
634	272448	156604
635	272887	156180
636	273321	155754
637	273787	155346
638	274151	154880
639	274561	154441
640	274966	153998
641	275356	153547
642	275763	153106
643	276126	152641
644	276613	152244
645	277096	151845
646	277479	151391
647	277864	150938
648	278264	150494
649	278700	150069
650	279080	149614
651	279448	149153
652	279881	148727
653	280311	148299
654	280792	147898
655	281259	147489
656	281772	147105
657	282183	146666
658	282629	146246
659	283084	145831
660	283478	145384
661	283851	144927
662	284246	144481
663	284731	144080
664	285198	143671
665	285581	143219
666	286065	142818
667	286541	142412
668	287003	142000
669	287582	141645
670	288109	141264
671	288587	140858
672	289081	140459
673	289589	140068
674	289988	139623
675	290430	139200
676	290899	138789
677	291279	138336
678	291785	137942
679	292380	137590
680	292916	137210
681	293434	136821
682	293950	136430
683	294481	136047
684	295080	135693
685	295649	135326
686	296151	134927
687	296703	134551
688	297172	134137
689	297694	133746
690	298173	133336
691	298677	132937
692	299255	132570
693	299755	132168
694	300303	131787
695	300867	131413
696	301359	131007
697	301919	130629
698	302413	130223
699	302902	129815
700	303354	129390
701	304000	129048
702	304484	128637
703	304952	128218
704	305461	127817
705	305918	127393
706	306394	126978
707	306851	126554
708	307344	126145
709	307688	125675
710	308024	125202
711	308392	124743
712	308795	124297
713	309201	123853
714	309658	123430
715	310134	123014
716	310477	122545
717	310867	122095
718	311316	121668
719	311725	121226
720	312118	120778
721	312492	120322
722	312885	119874
723	313265	119421
724	313685	118984
725	314201	118583
726	314717	118181
727	315194	117765
728	315578	117313
729	315994	116874
730	316452	116451
731	316953	116043
732	317491	115648
733	317942	115221
734	318442	114812
735	318858	114373
736	319239	113921
737	319569	113451
738	319972	113007
739	320327	112547
740	320700	112093
741	321026	111623
742	321358	111156
743	321769	110716
744	322166	110271
745	322533	109817
746	322876	109354
747	323305	108921
748	323646	108458
749	323992	107997
750	324454	107575
751	324842	107128
752	325255	106690
753	325738	106275
754	326230	105863
755	326713	105447
756	327096	104999
757	327474	104550
758	327935	104127
759	328342	103687
760	328722	103238
761	329116	102795
762	329544	102361
763	329911	101909
764	330327	101473
765	330732	101033
766	331137	100593
767	331618	100176
768	332144	99772
769	332645	99361
770	333124	98943
771	333640	98536
772	334219	98147
773	334642	97712
774	335089	97284
775	335647	96887
776	336034	96442
777	336520	96025
778	336973	95598
779	337463	95182
780	337912	94753
781	338435	94346
782	338917	93927
783	339499	93535
784	340056	93136
785	340589	92730
786	341049	92304
787	341551	91889
788	341884	91429
789	342286	90987
790	342713	90552
791	343156	90121
792	343565	89682
793	343953	89237
794	344438	88817
795	344848	88378
796	345290	87947
797	345726	87514
798	346212	87094
799	346668	86667
800	347149	86245
801	347632	85824
802	348149	85411
803	348598	84981
804	349073	84558
805	349518	84127
806	350038	83714
807	350485	83283
808	350932	82853
809	351421	82432
810	351869	82001
811	352409	81592
812	352824	81154
813	353271	80722
814	353750	80299
815	354236	79876
816	354696	79448
817	355161	79021
818	355630	78594
819	356118	78172
820	356600	77748
821	357073	77322
822	357550	76897
823	358118	76491
824	358650	76077
825	359124	75650
826	359625	75230
827	360038	74790
828	360570	74375
829	361103	73960
830	361586	73535
831	362014	73099
832	362491	72672
833	362888	72229
834	363267	71783
835	363691	71346
836	364237	70932
837	364660	70495
838	365157	70072
839	365546	69627
840	366001	69196
841	366427	68759
842	366833	68318
843	367361	67901
844	367820	67469
845	368239	67031
846	368627	66588
847	369056	66151
848	369521	65721
849	370083	65308
850	370482	64867
851	370898	64428
852	371327	63991
853	371722	63549
854	372125	63108
855	372517	62666
856	372892	62221
857	373292	61780
858	373625	61328
859	374014	60886
860	374397	60442
861	374841	60009
862	375280	59575
863	375630	59127
864	375989	58680
865	376307	58227
866	376747	57794
867	377210	57363
868	377604	56923
869	378239	56518
870	378694	56086
871	379103	55648
872	379472	55203
873	379928	54772
874	380418	54345
875	380814	53905
876	381266	53472
877	381725	53041
878	382156	52606
879	382612	52174
880	383128	51750
881	383670	51330
882	384163	50902
883	384520	50457
884	384965	50023
885	385438	49593
886	385849	49155
887	386349	48728
888	386832	48299
889	387314	47870
890	387794	47440
891	388245	47007
892	388643	46567
893	389058	46129
894	389612	45708
895	390203	45291
896	390672	44859
897	391206	44435
898	391650	44000
899	392080	43564
900	392541	43131
901	393023	42701
902	393487	42268
