iter	Logloss
207	0.499405957
208	0.4992751888
209	0.499184974
210	0.4990903125
211	0.4987235742
212	0.4983696354
213	0.4980797331
214	0.4979885026
215	0.4979229036
216	0.4972146615
217	0.4964729492
218	0.4957375326
219	0.4950899284
220	0.494172819
221	0.4936483659
222	0.4929664193
223	0.4924029622
224	0.4920867318
225	0.4914157096
226	0.4911003451
227	0.4907192578
228	0.4902677279
229	0.4895712109
230	0.4894625065
231	0.4889955729
232	0.4883908398
233	0.4878301367
234	0.4875146484
235	0.4871185547
236	0.486774987
237	0.4864440495
238	0.4857541536
239	0.4853370703
240	0.4852451628
241	0.4847601628
242	0.4846800781
243	0.4845734701
244	0.4845057292
245	0.4844219531
246	0.4843457031
247	0.4840633138
248	0.4836895638
249	0.4835933333
250	0.4835213086
251	0.4827845703
252	0.4823336458
253	0.4820295117
254	0.481598763
255	0.4810397201
256	0.4804213932
257	0.4798217188
258	0.4792917643
259	0.4789535221
260	0.4783930664
261	0.4780946159
262	0.4776917448
263	0.4772757096
264	0.4769240365
265	0.4768026107
266	0.4763976172
267	0.4760213151
268	0.4757495573
269	0.4753212565
270	0.4749555859
271	0.4744979818
272	0.4738772266
273	0.4734632357
274	0.4733170313
275	0.4732495898
276	0.4731735482
277	0.4728390365
278	0.4725100716
279	0.4721622852
280	0.471705
281	0.4712277995
282	0.4708538411
283	0.4704953451
284	0.4702272461
285	0.4698546159
286	0.4697457617
287	0.4693193424
288	0.4686269531
289	0.4681263411
290	0.4674655273
291	0.4669819141
292	0.4665608138
293	0.4660533008
294	0.4655788932
295	0.4652314128
296	0.4647806315
297	0.4644514258
298	0.4639284961
299	0.463626263
300	0.4632552148
301	0.4628749414
302	0.4624339648
303	0.4620670247
304	0.4614798763
305	0.4614164258
306	0.461014707
307	0.4605142643
308	0.4602286589
309	0.4601509635
310	0.4600928776
311	0.4592189063
312	0.4586791081
313	0.4581608984
314	0.4580567643
315	0.4579544401
316	0.4577061523
317	0.4573830924
318	0.4572766667
319	0.4569025391
320	0.4568445378
321	0.4567466081
322	0.4566559115
323	0.4561864779
324	0.4558936133
325	0.455434974
326	0.4550722135
327	0.454664681
328	0.4542820833
329	0.4541914583
330	0.4538687305
331	0.4533607487
332	0.453304668
333	0.4530363346
334	0.452652526
335	0.4521713086
336	0.4516255306
337	0.4515777539
338	0.4515419336
339	0.4514856055
340	0.4513500423
341	0.4510338997
342	0.450697819
343	0.4502692285
344	0.4500308333
345	0.4499640951
346	0.4498956413
347	0.4498262174
348	0.4497605339
349	0.4492570443
350	0.4489303288
351	0.4487074805
352	0.448449707
353	0.4480769759
354	0.4476954525
355	0.4473094531
356	0.4470145768
357	0.4466429329
358	0.4462797331
359	0.4456784505
360	0.4453862891
361	0.4452149447
362	0.4447390234
363	0.44427986
364	0.4441984668
365	0.4437387174
366	0.443661237
367	0.4435687109
368	0.4432121126
369	0.4426385221
370	0.4421375944
371	0.4419672201
372	0.4417528288
373	0.4415847624
374	0.4414202604
375	0.4408497624
376	0.4406405371
377	0.4399997559
378	0.4399231999
379	0.4394674316
380	0.4393144987
381	0.4392296908
382	0.4388172754
383	0.4384217546
384	0.4383071484
385	0.4381954753
386	0.4381254102
387	0.4380406966
388	0.4379558008
389	0.4374508496
390	0.4372300911
391	0.4368341797
392	0.4365536491
393	0.4362278678
394	0.4361767122
395	0.4356439193
396	0.4354007227
397	0.4351674577
398	0.4349247103
399	0.434502793
400	0.4340303971
401	0.4334417253
402	0.4329490658
403	0.4324676009
404	0.432215459
405	0.4319503971
406	0.4317515527
407	0.4314886979
408	0.4312330697
409	0.4308549674
410	0.4307780371
411	0.4303019336
412	0.4301277181
413	0.4297814583
414	0.4296198405
415	0.4293169108
416	0.4292690072
417	0.4289866764
418	0.4286278516
419	0.4282598437
420	0.4278616081
421	0.427585179
422	0.4273360579
423	0.4272851042
424	0.4270576139
425	0.4266597428
426	0.4266231413
427	0.4265415299
428	0.4260609245
429	0.4257233398
430	0.4255517969
431	0.4254368392
432	0.4247640495
433	0.4243851595
434	0.4242240072
435	0.423907347
436	0.4236478906
437	0.4234024414
438	0.4230440365
439	0.4227963021
440	0.4225971875
441	0.4223561784
442	0.422212513
443	0.4218908659
444	0.4215063021
445	0.42111611
446	0.4210536589
447	0.4206522949
448	0.4201334049
449	0.4197718945
450	0.4194861393
451	0.4190738379
452	0.4189654069
453	0.4186946973
454	0.4182912207
455	0.4180354297
456	0.4176428711
457	0.4175798958
458	0.4174976042
459	0.4174628646
460	0.417205944
461	0.4171546289
462	0.4171097396
463	0.4170787891
464	0.4170150098
465	0.4169851628
466	0.4169128613
467	0.4168512858
468	0.4168209017
469	0.4167597786
470	0.4167323014
471	0.4166884277
472	0.4166098828
473	0.4165640788
474	0.4165117806
475	0.4164677051
476	0.4164198796
477	0.4162971615
478	0.4161027539
479	0.4160554102
480	0.41566
481	0.4154256706
482	0.4153407259
483	0.4151932194
484	0.4148784375
485	0.4147080078
486	0.4145084147
487	0.4142770964
488	0.4142253288
489	0.4139786719
490	0.4136901986
491	0.4136420801
492	0.4135947982
493	0.4133888737
494	0.4133297786
495	0.413283724
496	0.4132367546
497	0.4130871647
498	0.4130251432
499	0.4129944368
500	0.4129211719
501	0.4126989095
502	0.4124009147
503	0.4118583822
504	0.4114649154
505	0.4111675391
506	0.4107524609
507	0.4105303581
508	0.4099763151
509	0.4095054297
510	0.4091824154
511	0.4088274707
512	0.4084973503
513	0.4081445866
514	0.4077914323
515	0.4075171419
516	0.4073046875
517	0.4071111523
518	0.40675861
519	0.4065238151
520	0.4059510319
521	0.4056203874
522	0.4054366178
523	0.4049596387
524	0.4046255143
525	0.4041659863
526	0.4039542676
527	0.4036780241
528	0.4034953971
529	0.4032296517
530	0.4028392806
531	0.4027619336
532	0.4023548079
533	0.4019585612
534	0.4019139714
535	0.4018443945
536	0.4016449154
537	0.4015864909
538	0.401393112
539	0.4011053516
540	0.4008432552
541	0.4005862793
542	0.4005597038
543	0.4005318066
544	0.4004428906
545	0.400390625
546	0.4003524316
547	0.4003170801
548	0.4000635026
549	0.3998230436
550	0.399457998
551	0.3991128711
552	0.3990381934
553	0.3987472266
554	0.3986785449
555	0.3985400553
556	0.3984713997
557	0.397856543
558	0.397624056
559	0.3974027637
560	0.3973480566
561	0.3970486784
562	0.3967251986
563	0.3966809831
564	0.3962603288
565	0.396054196
566	0.3960048242
567	0.3959612826
568	0.3958985156
569	0.3955482292
570	0.3955036165
571	0.3954480143
572	0.3954071387
573	0.3953468359
574	0.3952933887
575	0.3952252311
576	0.3951398405
577	0.3947757878
578	0.3947563607
579	0.394710485
580	0.3943583952
581	0.3942527962
582	0.394220778
583	0.3941817025
584	0.3941505762
585	0.394122832
586	0.3940945833
587	0.3939622786
588	0.3935573275
589	0.3935304069
590	0.3933102572
591	0.3932672331
592	0.3929964323
593	0.3929402995
594	0.3925168327
595	0.3924831641
596	0.3918393034
597	0.391807972
598	0.3916180794
599	0.391588597
600	0.3912117773
601	0.3911351986
602	0.3910976986
603	0.3908008008
604	0.3904920182
605	0.3902373665
606	0.3899081478
607	0.389856084
608	0.3897025
609	0.389344502
610	0.3893090885
611	0.389011901
612	0.3889712207
613	0.3886421582
614	0.388261224
615	0.3880029199
616	0.3874862272
617	0.3871818099
618	0.3869306608
619	0.386699056
620	0.3865215104
621	0.3863105924
622	0.3860135124
623	0.3856703451
624	0.385405166
625	0.3850854199
626	0.3848494727
627	0.3846468294
628	0.3843461426
629	0.3841011263
630	0.3838991569
631	0.3837544922
632	0.383550612
633	0.3832318197
634	0.3831276335
635	0.3827932194
636	0.3827252799
637	0.3826819368
638	0.3825027246
639	0.3821869987
640	0.381913763
641	0.3816905143
642	0.3814315918
643	0.3814003027
644	0.3810659147
645	0.380831875
646	0.3807672266
647	0.3807372135
648	0.3807042285
649	0.3802649479
650	0.3801917513
651	0.380042526
652	0.3797936914
653	0.3795037305
654	0.3793624805
655	0.3791520801
656	0.3788405208
657	0.3787954883
658	0.3786884049
659	0.3786692285
660	0.3786285482
661	0.3785846745
662	0.3785585417
663	0.3785076562
664	0.3784755501
665	0.378426582
666	0.3781840365
667	0.3781492415
668	0.378118431
669	0.3778997038
670	0.3775589811
671	0.3773895866
672	0.3772374349
673	0.3767503646
674	0.3767331087
675	0.3765696289
676	0.3764044661
677	0.3763829134
678	0.3759113216
679	0.3756615723
680	0.3753958984
681	0.3751350293
682	0.3748029525
683	0.3746104915
684	0.3743123275
685	0.374053571
686	0.3737901497
687	0.3733367155
688	0.3731060026
689	0.3728851042
690	0.3727735026
691	0.3723178418
692	0.3719700781
693	0.3716442904
694	0.3715839974
695	0.3714385352
696	0.3713004492
697	0.3709514909
698	0.3708194401
699	0.3705850911
700	0.3705513835
701	0.3701746387
702	0.3701461035
703	0.3701155306
704	0.3696070671
705	0.3692188249
706	0.3689817969
707	0.3687901432
708	0.368565179
709	0.3685026465
710	0.3682860124
711	0.3682519727
712	0.3682017741
713	0.3681656445
714	0.367846582
715	0.3675686686
716	0.3675357617
717	0.3673302865
718	0.3670637598
719	0.3667894661
720	0.3667499707
721	0.3664335547
722	0.3662823242
723	0.3661226497
724	0.365832194
725	0.3654386589
726	0.365239362
727	0.3650481673
728	0.3650294922
729	0.3650002181
730	0.3646148405
731	0.3643544466
732	0.3640488737
733	0.3638687109
734	0.3635512663
735	0.3632523861
736	0.3631440104
737	0.3630890885
738	0.3629319336
739	0.3628118034
740	0.3624921452
741	0.3624608854
742	0.3624269564
743	0.3622772331
744	0.3620735124
745	0.362043252
746	0.3619913965
747	0.361934196
748	0.3618849902
749	0.3618240267
750	0.3614800163
751	0.361334349
752	0.3611704199
753	0.3609505469
754	0.3607297461
755	0.3605735775
756	0.360522666
757	0.3604849902
758	0.3601726921
759	0.360144069
760	0.3601068034
761	0.3600684928
762	0.3599612402
763	0.359936403
764	0.3598776693
765	0.3596773698
766	0.3596439258
767	0.3593590625
768	0.3590998372
769	0.3588422331
770	0.3583698014
771	0.3580619434
772	0.3578341374
773	0.3578086589
774	0.3576540983
775	0.3573797005
776	0.3573603678
777	0.3570316504
778	0.3567278125
779	0.3564914453
780	0.3564030534
781	0.3562787142
782	0.3561418197
783	0.3558563607
784	0.3556775944
785	0.3555528841
786	0.3553660807
787	0.3550723405
788	0.355054043
789	0.3549523405
790	0.3547894141
791	0.3545655534
792	0.3543801237
793	0.3542205632
794	0.3541005859
795	0.3539792936
796	0.3536986979
797	0.3534821224
798	0.3532725814
799	0.3530256738
800	0.3527567871
801	0.3523819499
802	0.3521853841
803	0.3519986361
804	0.351870026
805	0.3518440788
806	0.3516877279
807	0.3516628092
808	0.3515398828
809	0.3513752637
810	0.3513353027
811	0.3510962793
812	0.3509970736
813	0.3507810872
814	0.3505946452
815	0.3504883887
816	0.3502073014
817	0.3500501335
818	0.3498300944
819	0.3495352572
820	0.3493756348
821	0.349190026
822	0.3490046517
823	0.3487516178
824	0.3484157096
825	0.348214694
826	0.3479396908
827	0.3479067773
828	0.34764486
829	0.3475807422
830	0.3474518424
831	0.3473456022
832	0.3472091406
833	0.3471222363
834	0.3470708561
835	0.3470017415
836	0.346786276
837	0.3467634668
838	0.346493737
839	0.346422832
840	0.3462600749
841	0.3460677344
842	0.3460415918
843	0.3459283854
844	0.3457093164
845	0.3456403711
846	0.3455406022
847	0.3454526074
848	0.3452926074
849	0.3450736947
850	0.3450151432
851	0.3449963932
852	0.3448590234
853	0.3446137923
854	0.3445069596
855	0.3444090039
856	0.3442991243
857	0.3441780469
858	0.3440810417
859	0.3439363249
860	0.3438376758
861	0.3433965072
862	0.3433168815
863	0.3432953874
864	0.343168763
865	0.3431430599
866	0.3431154134
867	0.342940599
868	0.3429032845
869	0.3427814844
870	0.3427261914
871	0.342648278
872	0.3426340202
873	0.342492334
874	0.3422754362
875	0.3422010775
876	0.3421674251
877	0.3419928125
878	0.3418386426
879	0.3414056283
880	0.3410472526
881	0.3408704818
882	0.3407269694
883	0.3406680794
884	0.3404704134
885	0.3402526009
886	0.3402351009
887	0.3401327799
888	0.3400514551
889	0.3398186035
890	0.339633623
891	0.3393907943
892	0.3393689551
893	0.3392532357
894	0.3390644857
895	0.3389512956
896	0.3386987044
897	0.338482334
898	0.338314248
899	0.3382857682
900	0.3381471875
901	0.3379272884
902	0.3378534538
903	0.3375541927
904	0.3374306706
905	0.3373584115
906	0.3372262435
907	0.3371177311
908	0.3370685937
909	0.3370431706
910	0.3370195508
911	0.3368366048
912	0.3366815885
913	0.3366523893
914	0.3365221549
915	0.3365036784
916	0.3364380111
917	0.3362711784
918	0.3360934505
919	0.3357920117
920	0.3357768945
921	0.3356879753
922	0.3355777962
923	0.3354779688
924	0.3353399479
925	0.335148252
926	0.334830153
927	0.3344955111
928	0.334436849
929	0.3344029134
930	0.3343010059
931	0.3342397428
932	0.3342061523
933	0.3341706738
934	0.3341376823
935	0.3341115527
936	0.3339666536
937	0.3336975977
938	0.3335363118
939	0.333377679
940	0.3333305794
941	0.3332570768
942	0.3329986947
943	0.3329712435
944	0.3326725846
945	0.3326343327
946	0.3323949154
947	0.3322135449
948	0.3321519629
949	0.331964681
950	0.3319283171
951	0.3318733854
952	0.3317771029
953	0.3316232096
954	0.3315746549
955	0.3314515039
956	0.3314175618
957	0.3313903939
958	0.331367347
959	0.3313488509
960	0.3313077865
961	0.3312416732
962	0.3312027344
963	0.3311000326
964	0.3308433691
965	0.3306817643
966	0.3305272689
967	0.3304847754
968	0.3302920996
969	0.3300392383
970	0.3298554264
971	0.329571543
972	0.329333623
973	0.3292099479
974	0.3290597819
975	0.3290178255
976	0.3287911523
977	0.3285582747
978	0.3282875684
979	0.3280320671
980	0.327916556
981	0.3278855566
982	0.3276174284
983	0.3274324089
984	0.3273252181
985	0.3273009212
986	0.3272144857
987	0.3271478939
988	0.3269332422
989	0.3268874544
990	0.3267291536
991	0.3266947689
992	0.3266813509
993	0.3266624056
994	0.326646748
995	0.326453278
996	0.326249056
997	0.326234541
998	0.3262079134
999	0.3261216081
