iter	Logloss
0	0.6359886393
1	0.6088451497
2	0.5955685547
3	0.5889765885
4	0.5832530794
5	0.5812400456
6	0.5784104362
7	0.5763607161
8	0.5753871029
9	0.5738179622
10	0.5732425521
11	0.5693590365
12	0.5680491992
13	0.5676945117
14	0.5663852604
15	0.5650930143
16	0.5640186719
17	0.5622504557
18	0.5616495638
19	0.5607601107
20	0.560429668
21	0.5585910742
22	0.5573676107
23	0.5563503255
24	0.5550659049
25	0.5543226237
26	0.5535589453
27	0.552754043
28	0.552100599
29	0.551173776
30	0.5502570247
31	0.5495605143
32	0.5491833854
33	0.5479636393
34	0.5478039518
35	0.5468232747
36	0.5464186589
37	0.5456660807
38	0.5451320117
39	0.5440501172
40	0.5435848047
41	0.5429871875
42	0.5427857096
43	0.5421988151
44	0.541475
45	0.5412820247
46	0.5405655208
47	0.539626263
48	0.5390069401
49	0.5378807031
50	0.5367994336
51	0.5363818034
52	0.5358014128
53	0.5347516211
54	0.5338051628
55	0.5327429688
56	0.5320020052
57	0.5312546159
58	0.5305460026
59	0.5298786263
60	0.5291031055
61	0.5285766536
62	0.5277045768
63	0.5271934049
64	0.5266816667
65	0.5258030729
66	0.525600931
67	0.5251934635
68	0.5248936003
69	0.5246250651
70	0.5238498177
71	0.5230604167
72	0.5222195898
73	0.5211668034
74	0.5210466862
75	0.5204539193
76	0.519792207
77	0.5188526432
78	0.5184913346
79	0.5183375
80	0.5180761523
81	0.5178261914
82	0.516921888
83	0.5157454883
84	0.5149422135
85	0.5145409115
86	0.5135615495
87	0.5128299609
88	0.5118465234
89	0.5110022461
90	0.5103766016
91	0.5098237305
92	0.5092725195
93	0.5087425195
94	0.508521556
95	0.5077675651
96	0.5069718815
97	0.5067134375
98	0.5065069401
99	0.5059948047
100	0.5054709635
101	0.5052540169
102	0.5048693815
103	0.5037526497
104	0.503166237
105	0.5025570378
106	0.5017005664
107	0.5011849805
108	0.5005868359
109	0.4998729167
110	0.4995844336
111	0.4990783919
112	0.4983936393
113	0.498183737
114	0.497591569
115	0.4971862695
116	0.4966087174
117	0.496084694
118	0.4959766016
119	0.4957881901
120	0.4956655794
121	0.4954562435
122	0.4948150521
123	0.4946757227
124	0.4945198242
125	0.4941933919
126	0.4933520703
127	0.4928487044
128	0.4926942122
129	0.4923461458
130	0.4919567773
131	0.4914007031
132	0.4906960807
133	0.4900200586
134	0.4897973503
135	0.4896963021
136	0.489326849
137	0.4890516667
138	0.4883905208
139	0.4877878451
140	0.4869942773
141	0.4864574805
142	0.4858541992
143	0.4850345247
144	0.4842135221
145	0.4835531966
146	0.4831294141
147	0.4827316341
